old_case	baseline_inputs	baseline_sha256	assertion	disposition	destination	observation	verification
pa5/tests/600-recurse.t	pa5/tests/600-recurse.t	e173e68948965ff6f2fe07529074fd65cbfbf2cd6d598e5d22abfa7d0cd2460a	recurse	covered elsewhere	pa4/tests/macros/600-recurse.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/600-repeated-argument-expansion.t	pa5/tests/600-repeated-argument-expansion.t	717574a20d7cbc5bb5152c3f7f1a1153e9b5f66f9ebe2df40c473a8ad1b6b95e	repeated argument expansion	retain	pa4/tests/directives/600-repeated-argument-expansion.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/610-line-macro.t	pa5/tests/610-line-macro.t	a5838077bf64af0e6f155efb013ff99bf1c14793eea9b2e3259f479d2d0f84f7	line macro	retain	pa4/tests/directives/610-line-macro.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/650-recurse.t	pa5/tests/650-recurse.t	b3747ea384552232196e3ca6a780b42587a907e49a12c17282878aa61aef4793	recurse	covered elsewhere	pa4/tests/macros/650-recurse.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/660-line-directive.t	pa5/tests/660-line-directive.t	c1070da0df4825cbcf254b4648c3bbfa460e79b57b3e8534665dc43c5937ad7e	line directive	retain	pa4/tests/directives/660-line-directive.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redef-a.t	pa5/tests/700-redef-a.t	5def0e3d2cf7fd85ad0479e8f36a3f584ccf5660cab277aedec4495dc13e695b	redef a	covered elsewhere	pa4/tests/macros/700-redef-a.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redef-q.t	pa5/tests/700-redef-q.t	1f8e124ae0a176a420bef5266c2ce355a2d1a3442d6e02559721543553306a08	redef q	covered elsewhere	pa4/tests/macros/700-redef-q.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redef2.t	pa5/tests/700-redef2.t	d5eb92986f9295c82162a6e9a59393f344646a0bd7d9cacb79039ca74b6c8fc1	redef2	covered elsewhere	pa4/tests/macros/700-redef2.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redeferr1.t	pa5/tests/700-redeferr1.t	70d84a0fac477aba12496723f238270fcf8d373736ed8b8d085e99581a5f992a	redeferr1	covered elsewhere	pa4/tests/macros/700-redeferr1.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redeferr2.t	pa5/tests/700-redeferr2.t	cd0e63231b8e1034428b5cea3f18bfa60ac429a3d431d0b4e1dea83b9e2de019	redeferr2	covered elsewhere	pa4/tests/macros/700-redeferr2.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redeferr3.t	pa5/tests/700-redeferr3.t	f757a7cbdb62bc9868678bc9bd29a6d2a3e181dcd1be6c4235e89a302216935e	redeferr3	covered elsewhere	pa4/tests/macros/700-redeferr3.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-redeferr4.t	pa5/tests/700-redeferr4.t	8c1be59c328f893117cc0c58c2ae764a231686766daa18c9bf3ce8e92878148d	redeferr4	covered elsewhere	pa4/tests/macros/700-redeferr4.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-strlit-a.t	pa5/tests/700-strlit-a.t	44f649f80252ddbb0b4de81cdbed37f7178f14b8cfc514c4097e330a6ba077f8	strlit a	covered elsewhere	pa4/tests/macros/700-strlit-a.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-strlit-a2.t	pa5/tests/700-strlit-a2.t	c77ce8d9d685f2eeb588577bbc3baebdca1458a3b6c36ca4b749fa03f54a52f1	strlit a2	covered elsewhere	pa4/tests/macros/700-strlit-a2.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/700-strlit-q.t	pa5/tests/700-strlit-q.t	33869f90f7b485daad7c583cfb4d4842fb67daa023c3b772b597aa1efed9a558	strlit q	covered elsewhere	pa4/tests/macros/700-strlit-q.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/800-placemarker-a.t	pa5/tests/800-placemarker-a.t	7d0b897b4efd655c9f8c1d1e67b1c707a4e08aa4e0bcfc8fcee74835fd2d06d7	placemarker a	covered elsewhere	pa4/tests/macros/800-placemarker-a.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/800-placemarker-q.t	pa5/tests/800-placemarker-q.t	d84e9cad118fbf6a0e7d6a4592466ab685ff0e117a80f3d7da5207609d5d6708	placemarker q	covered elsewhere	pa4/tests/macros/800-placemarker-q.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/800-pragma-once.t	pa5/tests/800-pragma-once.t	b93bd8126d2c2ac5d75f49b14dfd26f2a0e0b2876b23c59d8ea78df3226ec9b0	pragma once	retain	pa4/tests/directives/800-pragma-once.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/850-varargs-a.t	pa5/tests/850-varargs-a.t	ece15032bc750ac46698ee6f22d81318ad609d4b0acf0c045f29dfbcf21fb67d	varargs a	covered elsewhere	pa4/tests/macros/850-varargs-a.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/850-varargs-q.t	pa5/tests/850-varargs-q.t	fd086718b1159afbd4bab69b8626797358f4719fccde67158db440a59a223105	varargs q	covered elsewhere	pa4/tests/macros/850-varargs-q.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/900-recurse.t	pa5/tests/900-recurse.t	68c4412fe3e458770eb36970e9986f606599aaa7d13fe6d168816a68c476c2fc	recurse	covered elsewhere	pa4/tests/macros/900-recurse.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa5/tests/910-recurse2.t	pa5/tests/910-recurse2.t	6b107038970a4511777758bb88b4a638ee58dd198dc48faef829c2e834212d49	recurse2	covered elsewhere	pa4/tests/macros/910-recurse2.t	Identical input already retained in macro group; same file interface	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa6/tests/100-empty.t	pa6/tests/100-empty.t	cc466b1e311f95fb14ffda52ba155a924add5a6625596d0eb2e0d9d1f8671e70	empty	covered elsewhere	pa5/tests/spec/100-empty.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/100-main.t	pa6/tests/100-main.t	8b980ee08b6d16f7d4532dfaae3b41ed3e2a723b1a80b943316abc7fd357b9f4	main	covered elsewhere	pa5/tests/spec/100-main.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/101-bad.t	pa6/tests/101-bad.t	f672eda6bde068ea8b35f4f8dbb342c435ae4aa76f6a86bb637506c19b91d32e	bad	retire		Invalid token negative is already covered by tokenization; no recognizer parity requirement	Syntax-contract review; no required diagnostic parity
pa6/tests/120-primary.t	pa6/tests/120-primary.t	06d6fb4ff868eded9554b2d5ea029a93c085af7ea44573bc72bc216ed6301f78	primary	covered elsewhere	pa5/tests/general/100-new-delete-traits.t;pa5/tests/general/200-builtin-function-style-cast-expression.t;pa5/tests/general/200-qualified-member-comparison-template-arg.t;pa5/tests/general/200-qualified-call-member-body.t	Existing ASTs cover literals, parentheses and this; allocation case now includes a nullptr initializer. No separate primary-expression survey.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/121-id-expression.t	pa6/tests/121-id-expression.t	9193515aed9506aea9d8255cb1a7ad287d26522911a4dde2c2716ab9c5aaaccd	id expression	reduce/split	pa5/tests/general/200-overloadable-operator-ids.t;pa5/tests/general/100-qualified-id-call.t	One operator-name family case covers standalone operator ids; existing AST covers global and namespace-qualified ids.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/122-lambda.t	pa6/tests/122-lambda.t	bbf2322420fd2c846ce2635cb17446c49ee1b15e4cf22b5a654ea5f6d3f0635b	lambda	covered elsewhere	pa5/tests/general/200-lambda-capture-forms.t;pa5/tests/general/200-lambda-declarator.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/130-postfix-suffix.t	pa6/tests/130-postfix-suffix.t	23109325fcf3f258b62c0efaa53132ac25b714cc5dea2aba5c2e63de59db8c55	postfix suffix	reduce/split	pa5/tests/general/200-postfix-template-suffixes.t;pa5/tests/general/100-for-postfix.t;pa5/tests/general/100-inc.t	Retain braced subscript, dot/arrow explicit template suffixes and dependent pseudo-destructor calls; ordinary calls, indexing and increments already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/130-postfix.t	pa6/tests/130-postfix.t	b91cbb59c52820fc7a69cc69c0a86f5d2c084dc29e478a98bd565ac8443db6ae	postfix	reduce/split	pa5/tests/general/200-casts-typeid-construction.t;pa5/tests/general/100-structured-type-id.t;pa5/tests/general/200-inline-namespace-template-visibility-base.t;pa5/tests/general/200-builtin-function-style-cast-expression.t;pa5/tests/general/100-new-delete-traits.t	Retain const/reinterpret casts and dependent typename construction; static/dynamic casts, builtin conversion and typeid already covered. Invalid int{2,3,4} form removed.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/131-unary-expresion.t	pa6/tests/131-unary-expresion.t	e9c2862aea839fe86a2aa62d84dfe8cbb58cb8f511ed46110986476a8683be66	unary expresion	reduce/split	pa5/tests/general/100-unary-forms.t;pa5/tests/general/100-new-delete-traits.t;pa5/tests/general/200-nested-unary-call-arguments.t;pa5/tests/general/200-placement-new-pack-init.t;pa5/tests/general/200-conditional-simple-type-shift-return.t	Retain pack sizeof, prefix decrement and unary operands; existing ASTs cover pointer operators, traits and allocation. Existing delete case extended with global qualification.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/140-cast-expression.t	pa6/tests/140-cast-expression.t	af03ea3ff4b98fda91f7453d96dd1e68a563ece07e90ad7d3b968319396b89f2	cast expression	covered elsewhere	pa5/tests/general/100-c-style-cast-expression.t;pa5/tests/spec/300-type-id-expression-contexts.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-assignment.t	pa6/tests/150-assignment.t	e579a34af8f7659f381212d626910a13e0558cde2477871d7331d4d684061e99	assignment	retain	pa5/tests/general/100-compound-assignments.t	Structured AST; explicit declaration/template context where needed, no old OK/BAD format	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-attributes.t	pa6/tests/150-attributes.t	f61a4f4865ae125793e8dbe049816aa783f2085a0c80526497e3478da08e4562	attributes	reduce/split	pa5/tests/general/100-balanced-attributes.t;pa5/tests/general/100-class-alignas-after-class-key.t	Balanced unknown attributes and valid class alignas; invalid alignas-only declaration retired	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-bare-label-statement.t	pa6/tests/150-bare-label-statement.t	c744d08355ca2635edc742b823401e55f736e33ad1a32aaf67871f63cfcdfa31	bare label statement	retire		Bare terminal label is invalid syntax in the course revision; redundant negative retired	Syntax-contract review; no required diagnostic parity
pa6/tests/150-goto.t	pa6/tests/150-goto.t	01e7372ae09ebee992ca30acf0195a3870a62d05b7dd9eff3f789d711b87851a	goto	covered elsewhere	pa5/tests/spec/100-switch-try.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-jump-statement.t	pa6/tests/150-jump-statement.t	41adf56f9bede194131b0f770839244a47d13674d627ccd6eccaaf1c77e30807	jump statement	reduce/split	pa5/tests/general/200-braced-return.t;pa5/tests/spec/100-switch-try.t	Braced/empty returns retained; existing switch/loop/goto AST covers other jumps	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-pm-expression.t	pa6/tests/150-pm-expression.t	2a380b7cc66caa55aee21398b67c9d5767640c6a41de01278083a99c3b399b17	pm expression	covered elsewhere	pa5/tests/general/100-operators-pm.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/150-statement.t	pa6/tests/150-statement.t	4821f642a3f82562cea4720d6013454e0b476bc66797a88fec0e893cb1ab736c	statement	reduce/split	pa5/tests/general/100-control-statement-forms.t;pa5/tests/spec/100-switch-try.t;pa5/tests/general/100-for-postfix.t;pa5/tests/general/100-while-assign.t	Addition reduced to dangling-else association and range-for; existing cases cover switch, jumps and ordinary loops.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/180-linkage.t	pa6/tests/180-linkage.t	9a455e47916995cb4879a12e6b7558f33e29029b74e2394aa341f3597ce224d8	linkage	covered elsewhere	pa5/tests/general/100-extern-cxx-linkage.t;pa5/tests/general/200-extern-c-class-declaration.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/200-binops.t	pa6/tests/200-binops.t	9b8c989b949b4f4763632f3bc6bf36377b2771a91ac7551d9feb7aec3adf1126	binops	reduce/split	pa5/tests/general/100-binary-precedence.t;pa5/tests/general/100-operators-pm.t;pa5/tests/general/100-rshift-piece-normalization.t	Retain mixed precedence/associativity trees; remove standalone operator samples already exercised in expression ASTs.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/200-new-parenthesized-type-id.t	pa6/tests/200-new-parenthesized-type-id.t	58bdc83cbe0ac5f3420cff352e85b88b2cb3e73a5dc6f4e54e903c54665729cd	new parenthesized type id	reduce/split	pa5/tests/general/200-parenthesized-new-type-vs-placement.t	Existing new-expression ambiguity case extended with a parenthesized pointer type and value initializer.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/200-operator-delete-id.t	pa6/tests/200-operator-delete-id.t	2523f87ac9600fbc1d743bcaf5ca00c3e5fba562147610d90bab66055a24d32b	operator delete id	covered elsewhere	pa5/tests/general/200-overloadable-operator-ids.t	Standalone delete id shares the operator-name family case; allocation/deallocation definitions also exist.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/200-operator-function-ids.t	pa6/tests/200-operator-function-ids.t	45a96bd04e1df54c0985f379bbb8e8e3551fd2c060183508d060b769939b2d39	operator function ids	reduce/split	pa5/tests/general/200-overloadable-operator-ids.t	Single operator-name family AST case; do not add a second overlapping operator-id survey.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/201-condexpr.t	pa6/tests/201-condexpr.t	3f459d78158a679f29e28535d92588b8c5d00eac4d9f1b5055a7ca6189d200e1	condexpr	reduce/split	pa5/tests/general/100-conditional-associativity.t;pa5/tests/general/100-conditional-sizeof.t	Retain nested conditional association and assignment third operand; simple conditional already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/250-decl-specifiers-without-type.t	pa6/tests/250-decl-specifiers-without-type.t	9e4940ddc3c089540996486c29b5a597ba434f69e9c8e1ca00336ed7546ba41b	decl specifiers without type	retire		Permissive acceptance of declarations without a type is obsolete	Syntax-contract review; no required diagnostic parity
pa6/tests/250-decl.t	pa6/tests/250-decl.t	735d7145ef6a722de34505a35ed6cdfe4b048b2361ed7316321c72ecd4a38c36	decl	covered elsewhere	pa5/tests/spec/100-namespace-forms.t;pa5/tests/general/200-namespace-alias-using-directive-imported-template-id-type.t;pa5/tests/spec/100-template-class.t	Structured AST of the relevant syntax already exercised; obsolete assembly grammar fragment retired	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/250-member-function-trailing-semicolon.t	pa6/tests/250-member-function-trailing-semicolon.t	b45bd4dfa7e78f90cd719a484dfeb23dfbd1f1a97fe155f3ffaef19437504573	member function trailing semicolon	reduce/split	pa5/tests/general/100-member-declarations.t	Extra semicolon after an inline member definition added to the existing class-member AST case.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/250-member-uniform-initializer.t	pa6/tests/250-member-uniform-initializer.t	7a26c574c73e49eb8d0df0221d700b5c626dc37aeae69dad2a1d93ce6db485f5	member uniform initializer	reduce/split	pa5/tests/general/100-member-declarations.t	Braced nonstatic member initializer added to the existing class-member AST case.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/250-named-bitfield-expression.t	pa6/tests/250-named-bitfield-expression.t	cf3522b03b7c5f643c522772f0782dd5b8d8eecbcf7778f04623762afb7e9c58	named bitfield expression	reduce/split	pa5/tests/spec/200-bit-field-declaration.t	Existing bit-field case extended with a conditional width, preserving both colon roles in the AST.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/260-declarator.t	pa6/tests/260-declarator.t	f2f87097863003abc0978dc168fbd47c3d868119e0f1698c302ef68737747fe0	declarator	reduce/split	pa5/tests/general/100-pointer-cv-qualifier.t;pa5/tests/general/100-decl-initializers.t;pa5/tests/spec/100-nested-declarator.t	Existing pointer-cv case extended with volatile pointee and const/volatile pointer levels; initializer and nested-pointer ASTs already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/270-typeid.t	pa6/tests/270-typeid.t	7425c019d9a60e253777b2d77c153d433ac8ea4c592db88b1026951b9097df09	typeid	reduce/split	pa5/tests/general/100-member-declarations.t	Pure-specifier after a pointer-returning member function declarator added to the existing class-member AST case.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/300-empty-case-expression-bad.t	pa6/tests/300-empty-case-expression-bad.t	d6b385591e756c11025d0ad3585a488db02942ff1eacffdea7c589f7d563dd27	empty case expression bad	retire		Invalid switch syntax negative retired; existing parser rejection surface retained	Syntax-contract review; no required diagnostic parity
pa6/tests/300-enum.t	pa6/tests/300-enum.t	e8b7b0ce291c8b0429027aad946b51d40a4134142b260af44b01280ad58af837	enum	covered elsewhere	pa5/tests/spec/100-enum.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/300-invalid-token-balanced-scan-bad.t	pa6/tests/300-invalid-token-balanced-scan-bad.t	53917bcc065309b561ab5fd3880b8dbedd020537fc893278695d288e34f6e578	invalid token balanced scan bad	retire		Invalid token negative adds no structured syntax assertion	Syntax-contract review; no required diagnostic parity
pa6/tests/300-lambda.t	pa6/tests/300-lambda.t	917a2a7bfd6cac46b72570afea3a5e19dda54383f0218edd14c5a727c6f70a0f	lambda	covered elsewhere	pa5/tests/general/100-lambda-cast.t;pa5/tests/general/200-lambda-declarator.t	Structured AST of the relevant syntax already exercised; invalid auto nonstatic-member context retired	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/300-try-without-handler-bad.t	pa6/tests/300-try-without-handler-bad.t	2aa60fc0f019914ec83d595c500c87412ed3074e84710d9af9cdb885138d495f	try without handler bad	retire		Invalid try syntax negative retired; valid handlers tested in spec/100-switch-try	Syntax-contract review; no required diagnostic parity
pa6/tests/400-dots.t	pa6/tests/400-dots.t	8fe3fea58edfebec63a359586e4f2a46540446b1233d775ca69678bfb0d1daf4	dots	reduce/split	pa5/tests/general/200-pack-base-initializers.t	Structured AST; explicit declaration/template context where needed, no old OK/BAD format	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/400-ellipsis-without-comma.t	pa6/tests/400-ellipsis-without-comma.t	b6957ef75f1b81b5a8b3b676e32d3d59595e700d4a99d131f3a79728611aa27f	ellipsis without comma	reduce/split	pa5/tests/general/100-function-traits.t	Existing variadic function case extended with the optional-comma parameter-clause spelling.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/400-exceptions.t	pa6/tests/400-exceptions.t	2043c2b992dfd04f090f3bbdf93eae7279bf22b5fda9adb45116a6ea4aba92b7	exceptions	reduce/split	pa5/tests/general/200-function-try-and-exception-declarators.t;pa5/tests/general/200-function-throw-typed-specification.t;pa5/tests/general/200-function-virt-and-noexcept-suffixes.t	Retain free function-try body and exception specifications nested in pointer/parameter declarators; ordinary throw/noexcept suffixes already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/450-template.t	pa6/tests/450-template.t	e78609ca8345f3920e23d2c45cb2322ea834a8c035e25c3ca37f1df136ce2847	template	covered elsewhere	pa5/tests/spec/100-template-class.t;pa5/tests/general/200-template-function-body.t;pa5/tests/spec/200-explicit-specialization-syntax.t	Structured AST of the relevant syntax already exercised	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/500-closing-angle-bracket-bad1.t	pa6/tests/500-closing-angle-bracket-bad1.t	783de188a6009da403b6ba5da0f45f2ff61ccdcab5f46c6fee072b523b8ccd07	closing angle bracket bad1	retire		Invalid mock-name angle syntax negative retired	Syntax-contract review; no required diagnostic parity
pa6/tests/500-closing-angle-bracket-bad2.t	pa6/tests/500-closing-angle-bracket-bad2.t	959582a714d3635b0d9e7b32c090f1ae1284b9620a2020b6a8f6555b0e69f2eb	closing angle bracket bad2	retire		Invalid mock-name angle syntax negative retired	Syntax-contract review; no required diagnostic parity
pa6/tests/500-closing-angle-bracket.t	pa6/tests/500-closing-angle-bracket.t	e63deb86a64770721abfb5f8b694c66f6e1cd0e6c88414f873725ad479201cff	closing angle bracket	reduce/split	pa5/tests/general/300-nested-angle-and-shift.t;pa5/tests/general/200-mock-template-name-angle-forms.t;pa5/tests/general/100-template-argument-paren-greater-nested.t	Retain right shift inside a parenthesized argument nested next to closing angles; ordinary nested angles and parenthesized greater-than already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa6/tests/500-deep-template-argument-failure-bad.t	pa6/tests/500-deep-template-argument-failure-bad.t	7ab34d00fb998cb353ef649e907f4a5782a843084770857fc879cb2f3ab6c6d4	deep template argument failure bad	retire		Malformed extreme nesting does not define a student resource or algorithm requirement	Syntax-contract review; no required diagnostic parity
pa6/tests/500-nested-template-delimiter-context.t	pa6/tests/500-nested-template-delimiter-context.t	e7b276b10cd91f8a8981c54c60e9ef4bec0de02cf30c572f71eec75d5d50fc2a	nested template delimiter context	reduce/split	pa5/tests/general/300-value-comparisons-in-template-arguments.t	Structured AST; explicit declaration/template context where needed, no old OK/BAD format	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/500-operator-template-angle-boundary.t	pa6/tests/500-operator-template-angle-boundary.t	33e1e26b563a345921c105cb3ce758f47a1451d4fc2a7d90d80a0105c5695c42	operator template angle boundary	reduce/split	pa5/tests/general/300-operator-template-calls.t	Structured AST; explicit declaration/template context where needed, no old OK/BAD format	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
pa6/tests/500-template-name-angle-commit-bad.t	pa6/tests/500-template-name-angle-commit-bad.t	4fcba6a7c31e0efe1be90ef6eda33533faebec169ce6350541ee8c9554ea69c5	template name angle commit bad	reduce/split	pa5/tests/general/300-declared-value-with-template-marker.t	Structured AST; explicit declaration/template context where needed, no old OK/BAD format	Reviewed AST intake (including ambiguity, pack constructors, and operator/template boundaries); PA10 195/195 ordinary and 9/9 focused batch checks
