test	directory	prefix	opus_initial	trusted_initial	aggregate_reason	opus_failure	trusted_failure	feature_cluster	opus_commit_evidence	opus_plan_evidence	opus_log_evidence	candidate_owner_pa	classification	minimal_example	proposed_test_path	action_status	notes
pa23/tests/general/200-variable-template-named-template-id-deduction.t	pa23/tests/general	200	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	variable-template-specialization-and-dependent-value-use	8e4c41d4 pa23: non-type deduction in nested template-id partial-spec patterns	Opus final plan Work log and Fix 14 discuss variable/static value members and materialization when dependent template values are named.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	pa21/tests/spec/300-variable-template-nested-nontype-specialization.t	pa21/tests/spec/300-variable-template-nested-nontype-specialization.t	test-added	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; reducer validation: /tmp reducer failed static_assert at Opus start 1963d796e, still failed at f25fda1d2, and passed at exact Opus fix 8e4c41d4; LowIR and witness refs generated with /home/vishvananda/work/phases/reference-binaries/cppgm++
pa23/tests/general/200-void-head-pack-partial-specialization-ordering.t	pa23/tests/general	200	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	pa21/tests/general/400-void-head-pack-partial-specialization-ordering.t	pa21/tests/general/400-void-head-pack-partial-specialization-ordering.t	test-added	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Backfilled in PA21; reducer validation: g++ C++11 accepted, Opus start 1963d796e rejects; a3c294645 accepts; LowIR refs generated with external reference binary using --emit-lowir -O0; focused PA21 check passed; no witness sidecar added pending clang witness oracle
pa23/tests/general/300-alias-sfinae-inherited-member-value.t	pa23/tests/general	300	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-alias-sfinae-inherited-member-value.my.lowir.compare.diff	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes alias SFINAE inherited member value reducer, but reference output is incompatible	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e exits 0 but emits LowIR selecting the wrong constructor shape; 1a232426b and later sampled commits emit the converting constructor selected through the alias SFINAE condition.	pa22	harness-or-reference-issue	analysis/reducers/pa22-alias-sfinae-inherited-member-value.t		no-action	seed=both_fail; skipped after validation because external reference LowIR includes extra EH runtime declarations not emitted by current PA22; recorded in analysis/reference-reducer-failures.md.
pa23/tests/general/300-array-qualified-member-type-sfinae.t	pa23/tests/general	300	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-candidate-dropping	53a5589b7 SFINAE-drop defaulted NTTP type failure; da9a5cdc4 fully concrete defaulted-NTTP guard failure; e486d6544 overload-set address non-deduced	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already emitted semantically matching LowIR for the array-qualified member-type SFINAE case; observed drift was only binding/object metadata, so no earlier reducer was added.
pa23/tests/general/300-bad-constructor-template-parameter-shadowing-target-aware.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	member-template-entity-and-call-integration	42beb854b member template definition relink; 7571a0d7b using-declaration imports member template overloads; 670045ef2 member template as TTP arg; 24db2e7ce using-imported member-template this adjustment	Opus plan loop notes cover member-template lookup/call/import behavior across class scopes and template argument forms.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)	pa22	missing-earlier-feature	analysis/reducers/pa22-bad-constructor-template-parameter-shadowing-target-aware.t	pa22/tests/general/400-bad-constructor-template-parameter-shadowing-target-aware.t	test-added	PA22 negative constructor-template SFINAE guard reducer; intentionally invalid C++11/no viable constructor; Opus start 1963d796e wrongly accepts, Opus 768c32e9f/current/reference reject; focused PA22 check passed; placement audit requires pa22:400 due the pointer/reference-dependent NTTP guard.
pa23/tests/general/300-constructor-template-const-ref-enable-if-conversion.t	pa23/tests/general	300	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-constructor-template-const-ref-enable-if-conversion.my.lowir.compare.diff	sfinae-substitution-candidate-dropping	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-constructor-template-defaulted-forwarding-lvalue-order.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constructor-and-conversion-template-deduction-overload-selection	12a043a36 converting ctor-template reference binding; 06faea325 prefer rvalue ctor template; a6c373488 ICS ctor selection; 8282e47cf by-value converting ctor template; 6e909ebd5 conversion-function-template copy-init; f8660aa27 assignment via conversion operator	Opus final plan Loop 55/56 and Work log item 11 describe constructor/conversion-template deduction, overload ranking, copy-init, and assignment conversion composition.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	harness-or-reference-issue	analysis/reducers/pa22-constructor-template-defaulted-forwarding-lvalue-order.t		no-action	seed=both_fail; reducer is C++11-valid and current accepts it, but external reference rejects as ambiguous between const-ref and defaulted forwarding constructor templates; recorded in analysis/reference-reducer-failures.md as reference-compiler-bug.
pa23/tests/general/300-constructor-template-pack-before-defaulted-nontype.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constructor-and-conversion-template-deduction-overload-selection	12a043a36 converting ctor-template reference binding; 06faea325 prefer rvalue ctor template; a6c373488 ICS ctor selection; 8282e47cf by-value converting ctor template; 6e909ebd5 conversion-function-template copy-init; f8660aa27 assignment via conversion operator	Opus final plan Loop 55/56 and Work log item 11 describe constructor/conversion-template deduction, overload ranking, copy-init, and assignment conversion composition.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	harness-or-reference-issue	analysis/reducers/pa22-constructor-template-pack-before-defaulted-nontype.t		no-action	seed=both_fail; reducer is C++11-valid and current accepts it, but external reference rejects with no viable tuple_like constructor after losing the defaulted non-type pointer parameter shape; recorded in analysis/reference-reducer-failures.md as reference-compiler-bug.
pa23/tests/general/300-current-specialization-constructor-template-canonical-owner.t	pa23/tests/general	300	fail	fail	both_fail	generated LowIR failed sanity validation: function @duration_like_int___cast__t2 block ^entry load uses undefined slot $this	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-ownership-and-out-of-class-definition-replay	42beb854b link out-of-class member function template definitions; e8325194b out-of-class constructor templates; fd6f3e485 member class template definitions; a6212a3e1 parameter labels; 768c32e9f overload pairing	Opus final pa23/plan.md Work log item 2 and Loop 56/61 notes identify member-template body relinking, class/member out-of-class definitions, and source-order overload pairing.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR failed sanity validation: function @duration_like_int___cast__t2 block ^entry load uses undefined slot $this	pa22	missing-earlier-feature	analysis/reducers/pa22-current-specialization-constructor-template-canonical-owner.t	pa22/tests/spec/300-current-specialization-constructor-template-canonical-owner.t	test-added	PA22 constructor-template current-specialization canonical-owner reducer; g++ C++11 valid; current/reference compare clean; Opus start 1963d796e mismatches, Opus e8325194b compares clean; focused PA22 check, placement audit, and PA22 report passed.
pa23/tests/general/300-defaulted-enable-if-overload-drop.t	pa23/tests/general	300	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		sfinae-substitution-candidate-dropping	53a5589b7 SFINAE-drop defaulted NTTP type failure; da9a5cdc4 fully concrete defaulted-NTTP guard failure; e486d6544 overload-set address non-deduced	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	pa22/tests/general/300-defaulted-enable-if-overload-drop.t	pa22/tests/general/300-defaulted-enable-if-overload-drop.t	test-added	seed=opus_only; reducer failed at Opus PA23 start 1963d796e with ambiguous call and passed at 53a5589b7; focused PA22 check and witness compare passed; PA22 placement audit passed with --fail-on-early; PA22 report passed 71/71.
pa23/tests/general/300-defaulted-enable-if-template-parameter-selection.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-candidate-dropping	53a5589b7 SFINAE-drop defaulted NTTP type failure; da9a5cdc4 fully concrete defaulted-NTTP guard failure; e486d6544 overload-set address non-deduced	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	pa22/tests/general/300-defaulted-enable-if-template-parameter-selection.t	pa22/tests/general/300-defaulted-enable-if-template-parameter-selection.t	test-added	seed=both_fail; reduced free-function selector failed at Opus PA23 start 1963d796e and passed at 53a5589b7; original static-member shape also passed after 53a5589b7 but was ref-unstable due extra EH runtime declarations, so the PA22 reducer keeps the same defaulted enable_if non-type-parameter selection without that output drift; focused PA22 check and witness compare passed; PA22 placement audit passed with --fail-on-early; PA22 report passed 71/71.
pa23/tests/general/300-dependent-adl-hidden-friend-before-later-value.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	integral-nontype-template-arguments-and-constant-values	8e4c41d4 non-type deduction in nested template-id partial-spec patterns; 8bafc1c42 static value member materialization	Opus final plan ties integral NTTP values and static value members to PA19 metaprogramming and later PA22 deduction.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	analysis/reducers/pa22-dependent-adl-hidden-friend-before-later-value.t	pa22/tests/general/300-dependent-adl-hidden-friend-before-later-value.t	test-added	PA22 hidden-friend ADL expression-SFINAE reducer; g++ C++11 valid; Opus start 1963d796e rejects and Opus 8bafc1c42 accepts; local canonical dev/cppgm++ accepts and generated refs; focused PA22 checks, direct LowIR checks, and placement audit passed. Focused PA22/PA23 report passed.
pa23/tests/general/300-dependent-alias-helper-partial-specialization.t	pa23/tests/general	300	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	pa21/tests/general/400-dependent-alias-helper-partial-specialization.t	pa21/tests/general/400-dependent-alias-helper-partial-specialization.t	test-added	seed=opus_only; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Backfilled in PA21; reducer validation: g++ C++11 accepted, Opus start 1963d796e rejects; 743b7a920 accepts; LowIR refs generated with external reference binary using --emit-lowir -O0; focused PA21 check passed; no witness sidecar added pending clang witness oracle
pa23/tests/general/300-dependent-bool-base-trait-type-argument.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	integral-nontype-template-arguments-and-constant-values	8e4c41d4 non-type deduction in nested template-id partial-spec patterns; 8bafc1c42 static value member materialization	Opus final plan ties integral NTTP values and static value members to PA19 metaprogramming and later PA22 deduction.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa19	missing-earlier-feature	analysis/reducers/pa19-dependent-bool-trait-nontype-argument.t	pa19/tests/general/100-dependent-bool-trait-nontype-argument.t	test-added	seed=both_fail; reducer is C++11-valid; current and external reference LowIR match; Opus PA23 start 1963d796e rejects dependent B::value as a type-name/typename issue; Opus commit 8e4c41d4 accepts; focused PA19 check passed; PA19 placement audit passed with --fail-on-early.
pa23/tests/general/300-dependent-detected-or-instantiation-scope.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes detected_or nested instantiation-scope reducer	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e rejects the reducer with unknown detector<Default,void,Op,Args...>::type; 1a232426b and later sampled commits accept.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-dependent-detected-or-instantiation-scope.t	pa22/tests/general/300-dependent-detected-or-instantiation-scope.t	test-added	seed=both_fail; added PA22 detected_or instantiation-scope reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 90/90.
pa23/tests/general/300-dependent-detected-or-missing-member-enable-if-call.t	pa23/tests/general	300	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-dependent-detected-or-missing-member-enable-if.t	pa23/tests/general	300	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-dependent-enable-if-nontype-candidate-drop.t	pa23/tests/general	300	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-dependent-enable-if-nontype-candidate-drop.my.lowir.compare.diff	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-dependent-enable-if-nontype-candidate-drop.my.lowir.compare.diff	sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes dependent enable_if variable-template NTTP candidate dropping	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e exits 0 but emits LowIR calling the SFINAE'd pick__ov2 template candidate; 1a232426b and later sampled commits call the fallback pick overload.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-dependent-enable-if-nontype-candidate-drop.t	pa22/tests/general/300-dependent-enable-if-nontype-candidate-drop.t	test-added	seed=both_fail; added PA22 dependent enable_if NTTP candidate-drop reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 86/86.
pa23/tests/general/300-dependent-enable-if-return-less-equal.t	pa23/tests/general	300	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes dependent enable_if return type with qualified traits and <= expression	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e rejects the reducer with undeclared hash_range; 1a232426b and later sampled commits accept.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-dependent-enable-if-return-less-equal.t	pa22/tests/general/300-dependent-enable-if-return-less-equal.t	test-added	seed=opus_only; added PA22 dependent enable_if return-type less-equal reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 89/89.
pa23/tests/general/300-dependent-enable-if-return-sizeof-less.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes dependent enable_if return type with relational sizeof expression	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e rejects the reducer with undeclared narrow; 1a232426b and later sampled commits accept and emit the narrow call.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-dependent-enable-if-return-sizeof-less.t	pa22/tests/general/300-dependent-enable-if-return-sizeof-less.t	test-added	seed=both_fail; added PA22 dependent enable_if return-type sizeof-less reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 86/86.
pa23/tests/general/300-dependent-negated-enable-if-nontype-parameter.t	pa23/tests/general	300	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-dependent-negated-enable-if-nontype-parameter.my.lowir.compare.diff	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-dependent-variable-template-empty-pack-enable-if-selection.t	pa23/tests/general	300	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-dependent-variable-template-empty-pack-enable-if-selection.my.lowir.compare.diff	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-detected-or-alias-template-argument.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes detector idiom using alias-template operation argument	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e rejects the reducer with unknown detector<Default,void,Op,Args...>::type; 1a232426b and later sampled commits accept.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-detected-or-alias-template-argument.t	pa22/tests/general/300-detected-or-alias-template-argument.t	test-added	seed=both_fail; added PA22 detected_or alias-template argument reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 86/86.
pa23/tests/general/300-detected-or-dependent-type-argument-default-enable-if.t	pa23/tests/general	300	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-detected-or-sfinae-fallback.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-candidate-dropping	a6723df7a detector/void_t SFINAE fallback passes reduced detected_or_t case; 53a5589b7 also passes	Opus plan loop notes identify SFINAE candidate dropping and defaulted non-type parameter guards as PA22-owned deduction/substitution behavior.	Opus start 1963d796e fails the PA22 detected_or_t reducer with unknown detector<Default,void,Op,Args...>::type; a6723df7a and 53a5589b7 both pass.	pa22	missing-earlier-feature	analysis/reducers/pa22-detected-or-sfinae-fallback.t	pa22/tests/spec/300-detected-or-sfinae-fallback.t	test-added	seed=both_fail; added PA22 detector fallback reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 75/75.
pa23/tests/general/300-empty-pack-enable-if-selection.t	pa23/tests/general	300	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-empty-pack-enable-if-selection.my.lowir.compare.diff	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-explicit-function-template-pack-alias-sfinae.t	pa23/tests/general	300	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		sfinae-substitution-with-alias-member-pack-and-detector-idioms	1a232426b fixes explicit function-template pack alias SFINAE reducer	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus start 1963d796e rejects the reducer with unsupported decltype operand; 1a232426b and later sampled commits accept.	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-explicit-function-template-pack-alias-sfinae.t	pa22/tests/general/300-explicit-function-template-pack-alias-sfinae.t	test-added	seed=opus_only; added PA22 explicit function-template pack-alias SFINAE reducer with external refs and witness refs; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 89/89.
pa23/tests/general/300-explicit-template-call-dependent-alias-sfinae-overload.t	pa23/tests/general	300	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/300-explicit-template-call-dependent-alias-sfinae-overload.my.lowir.compare.diff	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/300-explicit-template-call-transitive-base-deduction.t	pa23/tests/general	300	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	function-template-deduction-partial-ordering-and-nondeduced-contexts	b5b48aea5 explicit template args authoritative; 58f5ccfeb synthesize NTTPs in function-template partial ordering; e486d6544 overload-set address non-deduced; 2b66548a5 qualified-id nested-name non-deduced; 8063e3edd trailing-pack deduction excludes defaults	Opus final pa23/plan.md loop notes identify full function-template deduction, partial ordering, explicit args, overload-set address deduction, and non-deduced contexts.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	harness-or-reference-issue	recursive reducer from pa23/tests/general/300-explicit-template-call-transitive-base-deduction.t; simple control in analysis/reducers/pa22-explicit-template-call-transitive-base-deduction-simple.t		no-action	seed=both_fail; PA23-shaped recursive-base reducer failed at Opus PA23 start 1963d796e and passed at fc8434823, but external reference output included extra EH runtime declarations that current PA22 LowIR did not emit, so the backfill failed current validation; simpler ref-stable transitive-base control already passed Opus start and did not prove the feature.
