pa23/tests/general/100-call-operator-template-use-scope-shadowing.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-constructor-sfinae-member-template-value.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/500-constructor-sfinae-member-template-value.my.lowir.compare.diff
pa23/tests/general/500-decltype-call-substitution-failure-partial-specialization.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-defaulted-nontype-qualified-alias-value.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-defaulted-pack-bool-short-circuit-sfinae.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/500-defaulted-pack-bool-short-circuit-sfinae.my.lowir.compare.diff
pa23/tests/general/500-dependent-alias-decltype-qualified-function-source-tokens.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-dependent-alias-member-template-id-defer.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-dependent-member-alias-function-return.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/500-dependent-member-alias-function-return.my.lowir.compare.diff
pa23/tests/general/500-dependent-qualified-sizeof-static-member.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-explicit-specialization-dependent-param-typedef.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/500-explicit-specialization-dependent-param-typedef.my.lowir.compare.diff
pa23/tests/general/500-function-template-parameter-alias-sees-previous-param.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-index-sequence-alias-constructor-deduction.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-inherited-constructor-template-member-alias-pack.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-internal-remove-cvref-alias-sfinae.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/500-internal-remove-cvref-alias-sfinae.my.lowir.compare.diff
pa23/tests/general/500-member-template-dependent-owner-defaulted-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-member-template-enable-if-redeclaration-overload.t	generated LowIR failed sanity validation: function @box_pointer_to_int___run block ^entry call @box_pointer_to_int___pick__t1 expects exactly 1 argument(s), got 3
pa23/tests/general/500-out-of-class-member-template-dependent-owner-type.t	generated LowIR failed sanity validation: function @main block ^entry call @service_mutex_type___receive__t1 expects exactly 1 argument(s), got 3
pa23/tests/general/500-pack-alias-functional-bool-trait-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-pack-alias-inherited-bool-constant.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-qualified-member-function-value-fallback-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-qualified-rebind-detected-type-arg.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-range-array-reference-mutable-begin.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-recursive-qualified-member-template-bool-arg.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-short-circuit-alias-member-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-source-owner-member-template-sfinae-default.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-tcc-member-constructible-pack-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-template-deduction-rejects-value-base-argument.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-type-pack-element-preserves-concrete-argument.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/general/500-type-pack-element-result-selects-copy-ctor.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/100-constructor-template-const-ref-conversion.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-constructor-template-const-ref-conversion.my.lowir.compare.diff
pa23/tests/spec/100-explicit-instantiation-static-member-function.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-explicit-instantiation-static-member-function.my.lowir.compare.diff
pa23/tests/spec/100-explicit-specialization-after-instantiation.t	tool exit status mismatch (expected EXIT_FAILURE, got EXIT_SUCCESS)
pa23/tests/spec/100-explicit-specialization-cross-converting-ctor-body.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-explicit-specialization-cross-converting-ctor-body.my.lowir.compare.diff
pa23/tests/spec/100-explicit-specialization-member-definition-after-forward-use.t	generated LowIR failed sanity validation: function @main block ^entry call @s_char___assign expects exactly 0 argument(s), got 2
pa23/tests/spec/100-explicit-specialization-member-function.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-explicit-specialization-member-function.my.lowir.compare.diff
pa23/tests/spec/100-explicit-specialization-refreshes-stale-primary-instantiation.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/100-explicit-specialization-static-data-member.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-explicit-specialization-static-data-member.my.lowir.compare.diff
pa23/tests/spec/100-extern-template-constructor-declaration.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/100-local-member-call-constructor-template-instantiation.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-local-member-call-constructor-template-instantiation.my.lowir.compare.diff
pa23/tests/spec/100-nontype-reference-argument.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/100-nontype-static-outdef-value-member-preserves-type.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-nontype-static-outdef-value-member-preserves-type.my.lowir.compare.diff
pa23/tests/spec/100-out-of-class-conversion-operator-definition.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-out-of-class-conversion-operator-definition.my.lowir.compare.diff
pa23/tests/spec/100-using-declaration-imports-function-template.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/100-using-declaration-imports-function-template.my.lowir.compare.diff
pa23/tests/spec/200-array-bound-class-partial-specialization.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/200-array-bound-class-partial-specialization.my.lowir.compare.diff
pa23/tests/spec/200-defaulted-class-template-argument-pack-prefix-deduction.t	generated LowIR failed sanity validation: function @main block ^entry call @tuples__tuple_int__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type__tuples__null_type___tuple expects exactly 4 argument(s), got 2
pa23/tests/spec/200-defaulted-class-template-argument-prefix-deduction.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/200-defaulted-class-template-argument-prefix-deduction.my.lowir.compare.diff
pa23/tests/spec/200-dependent-specialized-default-arg-deduction.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/200-dependent-specialized-default-arg-deduction.my.lowir.compare.diff
pa23/tests/spec/200-function-template-array-bound-deduction.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/200-member-template-explicit-pack-forward-call.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/300-cross-specialization-converting-ctor-operator-template.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/300-defaulted-enable-if-after-array-bound-deduction.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/300-inline-namespace-using-directive-sfinae-overloads.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/300-inline-namespace-using-directive-sfinae-overloads.my.lowir.compare.diff
pa23/tests/spec/300-out-of-class-sfinae-member-template-alias-body.t	generated LowIR failed sanity validation: function @box_int___call block ^entry call @box_int___assign__t1 expects exactly 1 argument(s), got 3
pa23/tests/spec/300-out-of-class-sfinae-member-template-body.t	generated LowIR failed sanity validation: function @main block ^entry call @container_int___insert__t1 expects exactly 1 argument(s), got 3
pa23/tests/spec/300-qualified-template-id-function-template-use-scope.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/300-template-id-direct-parameter-same-name-deduction.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/300-template-id-direct-parameter-same-name-deduction.my.lowir.compare.diff
pa23/tests/spec/300-typedef-class-template-does-not-instantiate.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/300-void-t-decltype-function-template-call-partial-specialization.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/300-void-t-decltype-function-template-call-partial-specialization.my.lowir.compare.diff
pa23/tests/spec/300-void-t-detector.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/300-void-t-detector.my.lowir.compare.diff
pa23/tests/spec/400-conversion-function-template-owner-result-copy-init.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/400-defaulted-type-arg-specialization-nontype-value.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/400-member-class-template-out-of-class.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/400-member-function-template-out-of-class.t	generated LowIR failed sanity validation: function @main block ^entry call @box_int___cast__t1 expects exactly 0 argument(s), got 1
pa23/tests/spec/400-member-template-nontype-param-shadows-inherited-value.t	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/spec/400-member-template-nontype-param-shadows-inherited-value.my.lowir.compare.diff
pa23/tests/spec/400-out-of-class-member-template-owner-param-rename.t	generated LowIR failed sanity validation: function @main block ^entry call @deque_like_int__char___h__t2 expects exactly 1 argument(s), got 5
pa23/tests/spec/400-out-of-class-member-template-tag-dispatch-definition.t	generated LowIR failed sanity validation: function @main block ^entry call @box_int___pick__t2 expects exactly 1 argument(s), got 4
pa23/tests/spec/400-out-of-class-overloaded-member-template-definition.t	generated LowIR failed sanity validation: function @main block ^entry call @C_int___f__t1 expects exactly 1 argument(s), got 3
pa23/tests/spec/400-variadic-base-pack-expansion.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-array-reference-cv-partial-ordering.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-function-template-array-bound-only-deduction.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-hidden-friend-query-free-decltype-noexcept.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-member-alias-pack-owner-sfinae.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-nondeduced-qualified-member-type-allows-conversion.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-template-template-conversion-operator-reference-target.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-template-template-piecewise-partial-ordering.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
pa23/tests/spec/500-unqualified-member-template-local-alias-deduction.t	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)
